,Text,Date,Retweets,Favorites,Mentions,HashTags
31,"हुनर को काम में , और काम को आमदनी में बदलता रोज़गार ढाबा During the COVID-19 lockdown period, Mijwan Welfare Society #EmbrodieryCenter and #RozgarDhaba are creating work opportunities for rural women in the form of designer mask making (including Chikankari Mask).",2020-08-09 23:27:56+00:00,6,44,,#EmbrodieryCenter #RozgarDhaba
32,Would make a lot more sense to focus on at risk children of any color. I lose sleep thinking about the child abuse happening all over the world during the lockdown. People who should have never had children are locked in with them. So sad.,2020-08-09 23:13:55+00:00,7,80,,
33,I'd add to that any politician who was immediately extended indefinite lockdown and religious people are unessential. ,2020-08-09 23:13:18+00:00,1,26,,
34,"This is a terrific & constructive dose of perspective for those frustrated/challenged by lockdown (I've been there myself ). Stephanie Browitt lost family &amp; was badly injured in the NZ Volcano tragedy, but she reminds us ""with perseverance this will pass"" ",2020-08-09 23:11:58+00:00,9,32,,
35,@drjudymelinek I’m a geographer- you might like this regarding islands and population density. You weren’t here for our lockdown but it was strict and 99.9% of the team of 5 million were fully behind it and that’s why we’re Covid free today: ,2020-08-09 23:07:52+00:00,4,29,@drjudymelinek,
36,"Don't people understand that pandemic is a biological crisis? Not constitutional. Not economic. And definitely not political. In COVID19 pandemic crisis, you give all respect to the virus: masks, distancing, wash hands, and lockdown. So far America has not shown any.",2020-08-09 23:05:01+00:00,5,24,,
37,I spent an unnecessary amount of money on restaurants this weekend we need another lockdown,2020-08-09 23:02:27+00:00,4,9,,
38,New Zealand got rid of the virus by imposing a strict lockdown in late March when only about 100 people had tested positive for the disease. ,2020-08-09 23:00:02+00:00,17,64,,
39,"Got a proper haircut for the first time since before lockdown and feeling OK about it, so here. ",2020-08-09 22:57:06+00:00,0,144,,
40,Some of the cast and crew of #Host met up today! It was the first time we've seen each other since the start of lockdown (in March) and it was lovely Here's a snap from our socially distanced wrap party picnic and celebration of the film we made #HappySpookies,2020-08-09 22:51:31+00:00,8,132,,#Host #HappySpookies
41,Anyone else get the feeling that celebrities are claiming to have the virus that do not because with the lockdown and with TDS destroying our desire to see them they are losing their star status?,2020-08-09 22:50:53+00:00,26,84,,
42,"2020 is turning out to be like all those futuristic movies where the women are bald, everything is on lockdown, authoritarians are taking over and only one hero can save us all. That hero is @realDonaldTrump",2020-08-09 22:49:53+00:00,13,35,@realDonaldTrump,
43,Mongolia actually ran a practice lockdown of one of their provinces. Amazing.,2020-08-09 22:42:41+00:00,9,454,,
44,So i will be dropping a picture thread of some of my pictures i shot during this lockdown period.please kindly like and retweet and comment yoyr favourite too gracies #bbnaija2020,2020-08-09 22:41:17+00:00,26,82,,#bbnaija2020
45,Can we please go on a full lockdown now? COVID has been in the US for 8 months now &amp; we could’ve eradicated it months ago if we quarantined sooner.,2020-08-09 22:39:48+00:00,22,68,,
46,What day of Lockdown is this?,2020-08-09 22:39:20+00:00,4,156,,
47,"""Don’t Americans care about their health?"" ""They need to take our precautions...They need a real lockdown."" ",2020-08-09 22:38:43+00:00,5,36,,
48,Tonight was my first time in a bar since lockdown. ,2020-08-09 22:36:40+00:00,1,116,,
49,Lockdown supporters cannot bear the thought that Sweden has got it right ,2020-08-09 22:32:36+00:00,148,361,,
50,"I’m cringing. You’re an embarrassment, and you’re gonna get rinsed at the elections for saying this. A third of all young Black men in London were stopped and searched during lockdown - and here you are, saying this, playing down the Met’s institutional racism. Shame on you. ",2020-08-09 22:31:53+00:00,34,212,,
51,"US failure to contain the coronavirus has been met with astonishment and alarm in Europe — “Don’t they care about their health? They need a real lockdown. We’ve discovered a country that is very fragile, a public health system that is nonexistent” ",2020-08-09 22:29:32+00:00,132,131,,
52,"- there’s not been ever a slight suggestion that the people might get to vote on the issue; - encouraged snitch & shaming behaviour to help push compliance; - ignored the other human costs of lockdown: other deadly conditions not treated/diagnosed, deaths of despair..",2020-08-09 22:27:53+00:00,10,30,,
53,In all the debate about whether lockdown started on the 16th March (it definitely didn't) here is a thread to remind us that saying what could have been done sooner isn't just hindsight. ,2020-08-09 22:26:02+00:00,14,24,,
54,Find personal hygiene tiresome but still desperate for a date? Toby Young's lockdown sceptics website may be just the place for you... ,2020-08-09 22:22:14+00:00,11,17,,
55,COVID-19 lockdown daries ,2020-08-09 22:21:07+00:00,23,59,,
56,"My friends who made the lasagna have been in lockdown for as long as we have, save one instance where a medical procedure required a COVID test (negative). They’re in our learning pod. Only way I would do this for now.",2020-08-09 22:20:27+00:00,2,120,,
57,Lockdown glow up ,2020-08-09 22:14:38+00:00,12,47,,
58,How about this headline on the front page of newspapers instead of scare stories like Threat of Second Lockdown etc. Not a squeak about this good news or the reasons that the virus may be on the way out on ⁦@BBCNews⁩,2020-08-09 22:09:51+00:00,11,46,@BBCNews,
59,Can someone help us tell Laycon @Itslaycon that all his SM accounts are lockdown already . Almost 300k on IG. Over 80k on Twitters. iCONs soldiers full everywhere too. E be things already. #iCONsForLaycon #BBNaija,2020-08-09 22:09:26+00:00,136,677,@Itslaycon,#iCONsForLaycon #BBNaija
60,"Tomorrow there's the first photo teaser, comeback is so close!!!! Officially on BTS lockdown! Starting 11 pm KST let's use the ht #/1stDynamiteTeaser #MTVHottest BTS @BTS_twt",2020-08-09 22:06:01+00:00,77,113,@BTS_twt,#MTVHottest
61,starting from tmrw we are no a bts lockdown and i dont wanna see anyone engage with antis i only wanna see goals on the tl and ppl hyping up the boys,2020-08-09 22:02:26+00:00,40,97,,
62,"Raheem Sterling on the #UCL: ""We were extra hungry. I think the mentality since we got back in – day one after lockdown – has been how much we want this. We’ve got energy to progress in this competition. Energy and fight – we showed that against Madrid throughout the game."" ",2020-08-09 22:02:11+00:00,9,159,,#UCL #UCL
63,we basically been on lockdown for 5 months and minnis still ain’t come up with a better plan.,2020-08-09 21:58:59+00:00,55,106,,
64,"Did anybody actually read the New Zealand article? Three main measures they used: border control, lockdown and contact tracing. That’s literally all you can do.",2020-08-09 21:57:39+00:00,22,41,,
65,Sharing good news is always a good thing. F you NWO and F you lockdown lovers and second wave hopers https://www.express.co.uk/news/uk/1320683/uk-coronavirus-news-latest-second-wave-death-toll-infection-rate-herd-immunity?fbclid=IwAR1LojqaRsPoNuHjRUqUzACGYH9n04hzlYrZnkA4nLL4v_7rXnKBuc211cI,2020-08-09 21:55:49+00:00,113,192,,
66,Honestly what we gone do though? Lockdown the country until we have 0 cases then what? Open it back up for another wave? Then what? Lock it down again? Then what?,2020-08-09 21:52:32+00:00,48,94,,
67,The backstroke flags that our swimmers designed during lockdown It’s so good to be back at the pool with them @SwindonDolphin @Swim_England @WiltsASA @JMNSwimmer @britishswimming @SwimSouthWest,2020-08-09 21:52:11+00:00,9,129,@SwindonDolphin @Swim_England @WiltsASA @JMNSwimmer @britishswimming @SwimSouthWest,
68,Flagship/DBU got better today. Keep this lockdown tradition going,2020-08-09 21:51:51+00:00,34,201,,
69,"Counter-intuitively a main reason the media’s SO invested in lockdown still being 100% justified is potential damage from COVID (as proven by Sweden) is now SO much LESS than it was based on. Had COVID been closer to as forecast, they wouldn’t have SO much fear of looking stupid.",2020-08-09 21:48:27+00:00,22,84,,
70,I’ll take this moment of B.B.Brilliance to shamelessly plug the podcast we did with @BradBinder_41 in April during lockdown when he hadn’t even made a MotoGP appearance. Explaining just HOW rocky the road to MotoGP has been. @NeilHodgson100,2020-08-09 21:46:39+00:00,11,117,@BradBinder_41 @NeilHodgson100,
71,"Yes, very odd we don't have the bit where a Yorkshire car (as was 'suspected' at the time) was stopped for having the nerve to travel to London. Meanwhile, no police stopping London cars in Barnard Castle, under lockdown.......",2020-08-09 21:42:38+00:00,18,139,,
72,Follow @freenationtoday if you are based in Leeds and against this lockdown! What an amazing turn out today #leeds #leedsprotest #news #lockdown #Endlockdown #protests2020 #HumanRights,2020-08-09 21:41:42+00:00,51,132,@freenationtoday,#leeds #leedsprotest #news #lockdown #Endlockdown #protests2020 #HumanRights
