Date,Price,Open,High,Low,Volume,Chg%
02-Mar-20,11132.75,11387.35,11433,11036.25,680.80K,-0.62%
03-Mar-20,11303.3,11217.55,11342.25,11152.55,696.52K,1.53%
04-Mar-20,11251,11351.35,11356.6,11082.15,797.65K,-0.46%
05-Mar-20,11269,11306.05,11389.5,11244.6,1.35M,0.16%
06-Mar-20,10989.45,10942.65,11035.1,10827.4,1.81M,-2.48%
09-Mar-20,10451.45,10742.05,10751.55,10294.45,1.57M,-4.90%
11-Mar-20,10458.4,10334.3,10545.1,10334,1.22M,0.07%
12-Mar-20,9590.15,10039.95,10040.75,9508,1.34M,-8.30%
13-Mar-20,9955.2,9107.6,10159.4,8555.15,1.39M,3.81%
16-Mar-20,9197.4,9587.8,9602.2,9165.1,897.73K,-7.61%
17-Mar-20,8967.05,9285.4,9403.8,8915.6,935.62K,-2.50%
18-Mar-20,8468.8,9088.45,9127.55,8407.05,1.52M,-5.56%
19-Mar-20,8263.45,8063.3,8575.45,7832.55,925.72K,-2.42%
20-Mar-20,8745.45,8284.45,8883,8178.2,1.07M,5.83%
23-Mar-20,7610.25,7945.7,8159.25,7583.6,653.54K,-12.98%
24-Mar-20,7801.05,7848.3,8036.95,7511.1,738.43K,2.51%
25-Mar-20,8317.85,7735.15,8376.75,7714.75,736.87K,6.62%
26-Mar-20,8641.45,8451,8749.05,8304.9,865.59K,3.89%
27-Mar-20,8660.25,8949.1,9038.9,8522.9,801.45K,0.22%
30-Mar-20,8281.1,8385.95,8576,8244,593.25K,-4.38%
31-Mar-20,8597.75,8529.35,8678.3,8358,712.66K,3.82%
01-Apr-20,8253.8,8584.1,8588.1,8198.35,506.34K,-4.00%
03-Apr-20,8083.8,8356.55,8356.55,8055.8,697.03K,-2.06%
07-Apr-20,8792.2,8446.3,8819.4,8360.95,814.18K,8.76%
08-Apr-20,8748.75,8688.9,9131.7,8653.9,896.53K,-0.49%
09-Apr-20,9111.9,8973.05,9128.35,8904.55,742.14K,4.15%
13-Apr-20,8993.85,9103.95,9112.05,8912.4,643.97K,-1.30%
15-Apr-20,8925.3,9196.4,9261.2,8874.1,879.15K,-0.76%
16-Apr-20,8992.8,8851.25,9053.75,8821.9,719.44K,0.76%
17-Apr-20,9266.75,9323.45,9324,9091.35,684.21K,3.05%
20-Apr-20,9261.85,9390.2,9390.85,9230.8,726.37K,-0.05%
21-Apr-20,8981.45,9016.95,9044.4,8909.4,655.12K,-3.03%
22-Apr-20,9187.3,9026.75,9209.75,8946.25,734.38K,2.29%
23-Apr-20,9313.9,9232.35,9343.6,9170.15,666.65K,1.38%
24-Apr-20,9154.4,9163.9,9296.9,9141.3,659.44K,-1.71%
27-Apr-20,9282.3,9259.7,9377.1,9250.35,512.79K,1.40%
28-Apr-20,9380.9,9389.8,9404.4,9260,614.55K,1.06%
